,track_id,artists,album_name,track_name,track_genre,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,id,duration,time_signature
45,1zsPaEkglFvxjAhrM8yhpr,Ozuna;Feid,OzuTochi,Hey Mor,latin,76,0.901,0.589,-6.713,0.289,0.00302,0.000237,0.0992,0.399,1zsPaEkglFvxjAhrM8yhpr,197,4
46,1zsPaEkglFvxjAhrM8yhpr,Ozuna;Feid,OzuTochi,Hey Mor,latino,76,0.901,0.589,-6.713,0.289,0.00302,0.000237,0.0992,0.399,1zsPaEkglFvxjAhrM8yhpr,197,4
47,1zsPaEkglFvxjAhrM8yhpr,Ozuna;Feid,OzuTochi,Hey Mor,reggae,77,0.901,0.589,-6.713,0.289,0.00302,0.000237,0.0992,0.399,1zsPaEkglFvxjAhrM8yhpr,197,4
48,1zsPaEkglFvxjAhrM8yhpr,Ozuna;Feid,OzuTochi,Hey Mor,reggaeton,77,0.901,0.589,-6.713,0.289,0.00302,0.000237,0.0992,0.399,1zsPaEkglFvxjAhrM8yhpr,197,4
49,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,piano,96,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,4h9wh7iOZ0GGn8QVp4RAOB,148,4
50,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,pop,96,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,4h9wh7iOZ0GGn8QVp4RAOB,148,4
51,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,rock,96,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,4h9wh7iOZ0GGn8QVp4RAOB,148,4
52,0WtM2NBVQNNJLh6scP13H8,Rema;Selena Gomez,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),pop,92,0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,0WtM2NBVQNNJLh6scP13H8,239,4
53,4Dvkj6JhhA12EX05fT7y2e,Harry Styles,Harry's House,As It Was,pop,92,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,4Dvkj6JhhA12EX05fT7y2e,167,4
54,2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Merry Christmas From Brenda Lee,Rockin' Around The Christmas Tree,rockabilly,71,0.589,0.472,-8.749,0.0502,0.614,0.0,0.505,0.898,2EjXfH91m7f8HiJN1yQg97,126,4
